song_title,artist,INDEX-VAL,index
Kingdom Come,Demi Lovato,0.146228,474
If I Told You,Darius Rucker,0.1465,475
C'Est La Vie,Booba,0.146804,476
One Fine Day,The Chiffons,0.147337,477
Delorean Dynamite,Todd Terje,0.147722,478
Dead Sound,The Raveonettes,0.14775,479
Move Your Body - Extended Mix,Benny Benassi,0.147934,480
Amen,Hunter Hayes,0.147957,481
Feels Like We Only Go Backwards,Tame Impala,0.148701,482
M.E.N,Bugzy Malone,0.148764,483
Demon To Lean On,Wavves,0.149,484
Bastard Son,God Of Nothing,0.149172,485
All Eyes On You (feat. Chris Brown & Nicki Minaj),Meek Mill,0.149606,486
Hot N*gga,Bobby Shmurda,0.150066,487
Alive In You - Studio Version,Jesus Culture,0.15015,488
Past Lives,DIIV,0.150972,489
Uncast Shadow Of A Southern Myth,Parquet Courts,0.151632,490
Thunder,Imagine Dragons,0.152,491
I Will,Citizen Way,0.152067,492
Titanium (feat. Sia),David Guetta,0.152146,493
Leave A Trace,CHVRCHES,0.15219,494
Hold It All,Cody Carnes,0.153472,495
Scared To Be Lonely (Conro Remix),Martin Garrix,0.153807,496
Milky Way,Madison Mars,0.153881,497
No Le Digas Que Hacer,Karina Vismara,0.154326,498
Blood On The Leaves,Kanye West,0.15438,499
Way Down We Go,Kaleo,0.15458,500
Want My Love,Cathedrals,0.154785,501
Rub off,Kim Woo-Joo,0.155104,502
The Righteous One,The Orwells,0.155211,503
"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack",Hailee Steinfeld,0.15555,504
For You,Demi Lovato,0.156045,505
"Wild One Two - feat. David Guetta, Nicky Romero & Sia",Jack Back,0.156066,506
Acamar,Frankey,0.156177,507
Heavy,Birdtalker,0.15657,508
Don't Owe You a Thang,Gary Clark Jr.,0.156792,509
Midnight City,M83,0.157274,510
Lady Brain,The Harmaleighs,0.157344,511
Front to Back,Buku,0.15745,512
With Me,Vanilla Acoustic,0.15768,513
Living Every Dream,Antwon,0.157828,514
Unfinished,Mandisa,0.158355,515
Just Wanna Love You Girl,Epsilons,0.1584,516
No New Friends - SFTB Remix,DJ Khaled,0.1589,517
Save the World,Swedish House Mafia,0.158922,518
Can't Get Enough - Pegboard Nerds Remix,Tommie Sunshine,0.159083,519
Ode To Viceroy,Mac Demarco,0.15934,520
Cool for the Summer,Demi Lovato,0.159705,521
Love in a Bar,Ryan Hurd,0.160256,522
Serpents,Neck Deep,0.160407,523
Rewind,Kelela,0.161136,524
She On My Dick,Rick Ross,0.161218,525
Sleepwalk,Santo & Johnny,0.161616,526
Life Round Here,James Blake,0.161736,527
Anna Sun,WALK THE MOON,0.161896,528
No Ass,FIDLAR,0.162405,529
New Slaves,Kanye West,0.1625,530
I'm Glad There Is You,Bill Mobley,0.1628,531
Apple of My Eye,Rick Ross,0.163176,532
Forgiven,Crowder,0.163725,533
Save My Soul,JoJo,0.164024,534
Reasons,Jillian Jacqueline,0.164325,535
TESTIFY,NEEDTOBREATHE,0.16434,536
On Our Own (feat. Natalie Major),Showtek,0.164498,537
Childs Play (feat. Chance the Rapper),SZA,0.165244,538
Howl,Florence + The Machine,0.1653,539
Great Are You Lord (Radio Mix),one sonic society,0.165312,540
"It's Not My Fault, I'm Happy",Passion Pit,0.165579,541
Changes - Dirty South Remix,Chris Lake Feat. Laura V,0.165677,542
You Go To My Head,Art Pepper,0.166175,543
White Rabbit,Jefferson Airplane,0.166617,544
Eye of the Storm (feat. Gabe Real),Ryan Stevenson,0.166835,545
Didn't You,Cloud Nothings,0.167526,546
O.G,Booba,0.16758,547
Sanctified,Rick Ross,0.16767,548
Love Sosa,Chief Keef,0.168078,549
Taifa - The Emperor Machine Mix,Partial Arts,0.168418,550
One Of Those Love Songs,Xscape,0.168941,551
Coming Around Again,Carly Simon,0.169108,552
Civilization,Justice,0.169625,553
Mamacita,Travis Scott,0.170361,554
Santorini Greece,Rick Ross,0.170562,555
Riot Call (feat. Nevve),QUIX,0.170892,556
Midnight City,M83,0.171127,557
Zac Brown Band - Hot Country,Various Artists,0.172189,558
My Bad - Club Mix,The Partysquad,0.172602,559
Brightside - Borgeous Remix,Icona Pop,0.172656,560
Do I Love You?,The Ronettes,0.17325,561
Big Jet Plane - Animal Trainer Remix,Jan Blomqvist,0.17355,562
Temporary View,SBTRKT,0.173676,563
